sr_no,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,split,path,vlm_analysis
2192,"Okay, Mon, back me up here.",Ross,neutral,neutral,218,1,4,11,"0:12:18,112","0:12:19,338",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt1.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners initially downturned, shift slightly upwards as he continues talking, suggesting a subtle change towards engagement or mild amusement. He nods occasionally, emphasizing his points, and gestures with his hands, indicating active communication. His head remains mostly straight, facing forward, with slight turns and tilts as he speaks. The speaker's overall emotional arc progresses from neutral to serious, then to engaged or mildly amused, marked by facial expressions such as furrowed brows and a focused gaze, along with body language like hand gestures and head nods."
2193,"Where you work the uh, waiters eat with the waiters, right?",Ross,neutral,neutral,218,2,4,11,"00:12:19,488","00:12:22,657",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt2.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, marked by slight eyebrow raises and lip movements. His gaze remains directed towards the seated individuals, indicating focused attention. He uses hand gestures to emphasize his points, suggesting an attempt to convey information clearly. His head nods slightly, reinforcing his engagement in the conversation. As the clip progresses, his expression becomes more animated, reflecting increasing involvement in the discussion. Towards the end, there is a subtle shift in his expression, possibly indicating a hint of amusement or satisfaction, though this is not definitively clear due to limited visibility. Overall, the speaker's emotional arc moves from neutral to engaged and then to a possible hint of amusement or satisfaction."
2194,"And the chefs eat with the other chefs, right?",Ross,neutral,neutral,218,3,4,11,"00:12:22,867","00:12:25,368",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt3.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, marked by slight eyebrow raises and lip movements. His gaze shifts between the two women, indicating active engagement in the conversation. He uses hand gestures to emphasize his points, suggesting an attempt to convey information clearly. His head remains mostly straight, with occasional nods and tilts, further reinforcing his engagement. As the conversation progresses, his expression becomes more animated, reflecting increasing enthusiasm. This is accompanied by more pronounced eyebrow movements and dynamic mouth movements. Towards the end, his expression softens slightly, with a subtle smile appearing, indicating a shift towards a more relaxed and possibly amused state. The combination of these facial expressions, head movements, and body language suggests a transition from neutrality to engagement, enthusiasm, and finally a hint of amusement."
2195,I eat by myself in the alley because everybody hates me.,Monica,sadness,negative,218,4,4,11,"00:12:25,661","00:12:29,998",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt4.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks. Her eyebrows raise slightly, and her mouth corners turn upwards, indicating interest and engagement. She nods subtly while speaking, suggesting agreement or emphasis. Her gaze shifts between the other person and something off-screen, indicating active listening and thought processing. As she continues speaking, her facial expressions become more animated, reflecting her involvement in the conversation. Her head remains relatively still, with slight tilts and nods accompanying her speech. Her body language is relaxed yet attentive, with subtle hand gestures that emphasize her points. Towards the end, her expression softens, and a slight smile appears, suggesting a positive shift in her emotional state. This smile, combined with her relaxed posture and continued engagement through eye contact and subtle nods, indicates a transition from focused engagement to a more relaxed and contented state."
2196,"Look, Ross, really its-its no big deal.",Joey,neutral,neutral,218,5,4,11,"00:12:32,293","00:12:38,339",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt5.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, marked by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the listener, indicating attentiveness. He uses hand gestures to emphasize his points, suggesting an active engagement in the conversation. As the clip progresses, his expression becomes slightly more animated, reflecting increased involvement in the discussion. Towards the end, there is a subtle shift in his expression, possibly indicating a hint of amusement or satisfaction, as seen in a slight upturn of the mouth corners. This change is accompanied by continued hand gestures and a consistent gaze towards the listener, reinforcing his active participation. Overall, the speaker's emotional arc moves from neutral to engaged and slightly amused, driven by facial expressions such as eyebrow raises and mouth movements, along with body language like hand gestures and sustained eye contact."
2197,"Yknow you wear a white coat, I wear a blue blazer, if that means we cant be friends at work, then so be it.",Joey,sadness,negative,218,6,4,11,"00:12:35,880","00:12:42,302",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt6.mp4,"The speaker begins with a neutral expression, which transitions to a slight frown, indicating mild frustration or concern. This is evidenced by furrowed brows and a subtle downturn of the mouth corners. As the conversation progresses, the speaker's expression shifts back to neutral, suggesting a return to a baseline emotional state. Throughout the interaction, the speaker maintains a steady gaze towards the other person, indicating engagement. The speaker's head remains relatively still, with occasional slight nods, reinforcing their attentive listening. The body language is relaxed, with minimal movement, further emphasizing the conversational context. The speaker's facial expressions, primarily the brow and mouth movements, are key indicators of their emotional state, transitioning from neutral to slightly frustrated and then back to neutral."
2198,"Yknow, hey I understand.",Joey,neutral,neutral,218,7,4,11,"0:12:42,511","0:12:43,683",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt7.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, marked by subtle eyebrow raises and slight lip movements. His gaze remains directed off-screen, suggesting interaction with someone unseen. He nods slightly while speaking, indicating agreement or emphasis. His body language is relatively still, with minimal movement beyond these subtle gestures. As the conversation progresses, his expression becomes more animated, reflecting engagement and interest. This shift is accompanied by increased facial activity, including more pronounced eyebrow movements and lip articulation. Towards the end, there is a slight upturn of the mouth corners, hinting at a brief smile, possibly in response to something said or an internal thought. Overall, the speaker's emotional arc moves from neutral to engaged and interested, culminating in a momentary positive reaction."
2199,Yknow?,Joey,neutral,neutral,218,8,4,11,"0:12:43,683","0:12:43,984",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt8.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by a slight furrowing of his brow and a subtle tightening around his mouth. His gaze remains directed slightly off-camera, suggesting engagement with someone unseen. He maintains a relatively still head position, with occasional subtle nods and tilts, indicating active listening or agreement. His body language is relaxed, with minimal movement beyond these small head gestures. As the clip progresses, the speaker's expression becomes more serious, reflecting a shift in the conversation's tone. This seriousness is underscored by the continued furrowing of his brow and the tightening of his mouth. The overall impression is one of focused attention and thoughtful consideration, conveyed through subtle facial expressions and controlled body language."
2200,"Hey, when Im in a play and youre in the audience, I dont talk to you, right?",Joey,neutral,neutral,218,9,4,11,"00:12:44,221","00:12:48,933",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt9.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks. His eyebrows raise slightly, indicating interest or emphasis, while his mouth corners turn upwards, suggesting a positive or agreeable sentiment. He nods subtly throughout, reinforcing his engagement. His gaze remains directed towards the listener, maintaining connection. As he continues speaking, his facial expressions become more animated, reflecting an increase in enthusiasm. His head tilts slightly, further emphasizing his points. The speaker's body language is relaxed yet attentive, with hand gestures accompanying his speech. His overall emotional arc progresses from neutral to engaged and enthusiastic, marked by dynamic facial expressions and body language that convey active participation in the conversation."
2201,"So its yknow, its uh, its cool.",Joey,neutral,neutral,218,10,4,11,"00:12:49,852","00:12:52,187",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt10.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze shifts slightly, suggesting active listening or contemplation. He nods occasionally, indicating agreement or emphasis, while his body language remains relatively still, with minimal movement beyond these gestures. As the clip progresses, his expression becomes more animated, reflecting engagement and interest. The final segment shows a brief smile, characterized by upturned mouth corners, suggesting a positive shift in emotion. This smile is accompanied by a slight head tilt, reinforcing the positive affect. Overall, the speaker's emotional arc moves from neutral to engaged and interested, culminating in a brief moment of positivity."
2202,Ill see you tomorrow.,Joey,neutral,neutral,218,11,4,11,"00:12:52,438","00:12:53,938",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt11.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners initially downturned, shift slightly upwards as he continues talking, suggesting a subtle change towards engagement or mild amusement. He nods his head occasionally, emphasizing points in the conversation, and makes small hand gestures that accompany his speech. His body language remains relatively still, with slight shifts in weight and posture. The speaker's overall emotional arc progresses from neutral to serious, then to engaged or mildly amused, as evidenced by the combination of facial expressions, head movements, and body language."
2203,"Yeah, when were in the audience he doesnt talk to us, but he does wave.",Rachel,neutral,neutral,218,12,4,11,"00:12:57,067","00:13:00,069",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia218_utt12.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile towards the end. This shift suggests a change from neutrality to mild amusement or contentment. Initially, her mouth corners are slightly upturned, indicating a subtle smile. As she speaks, her gaze remains directed towards the other person, suggesting engagement. Her head is tilted slightly forward, indicating attentiveness. She maintains a relaxed posture throughout, with no significant body language changes. The slight smile at the end is the most prominent facial expression, supported by the upturned mouth corners. The consistent gaze and head tilt reinforce her engaged and attentive demeanor."
2204,You did look like an idiot.,Chandler,joy,positive,219,0,5,8,"00:06:44,612","00:06:46,780",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt0.mp4,"The speaker begins with a neutral expression, which transitions to a cheerful demeanor characterized by upturned mouth corners and visible teeth. This cheerful expression is maintained throughout the clip, with no significant changes in facial expressions, head movements, or body language. The speaker's gaze remains directed towards the camera, indicating engagement with the viewer. The consistent upturned mouth corners and visible teeth suggest a sustained positive emotional state, possibly amusement or happiness. The lack of head movement or change in body language further emphasizes the stability of this positive emotion."
2205,"Hey, I wasn't the only one who looked like an idiot.",Joey,neutral,neutral,219,1,5,8,"0:06:47,949","0:06:50,202",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt1.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he talks. His eyebrows raise slightly, and his mouth corners turn upwards, indicating interest and engagement. He nods occasionally, suggesting agreement or emphasis, and uses hand gestures to illustrate points, showing enthusiasm. His gaze shifts between the other two individuals, indicating active participation in the conversation. As the clip progresses, his expression becomes more animated, reflecting increasing engagement. Towards the end, his expression returns to neutral, concluding the interaction. The combination of raised eyebrows, upturned mouth corners, nodding, and hand gestures all contribute to the perception of an engaged and enthusiastic speaker."
2206,All right?,Joey,neutral,neutral,219,2,5,8,"0:06:50,202","0:06:50,606",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt2.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he talks. His eyebrows raise slightly, and his mouth corners turn upwards, indicating interest and engagement. He nods occasionally, suggesting agreement or emphasis, and uses hand gestures to further emphasize his points. His gaze shifts between the other two individuals, indicating active participation in the conversation. As the clip progresses, his expression becomes more animated, reflecting increasing enthusiasm. This is evidenced by more pronounced eyebrow raises and mouth movements. Towards the end, his expression returns to a more neutral state, though he maintains an engaged posture and continues to gesture. The combination of raised eyebrows, upturned mouth corners, and dynamic hand gestures suggests a shift from neutrality to engagement and enthusiasm, culminating in a brief smile that indicates a positive emotional response."
2207,"Remember when Ross tried to say, ""Butternut squash?""",Joey,joy,positive,219,3,5,8,"00:06:51,285","00:06:53,912",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt3.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the woman, suggesting attentiveness. He uses hand gestures to emphasize his points, indicating engagement and enthusiasm. His head nods slightly, reinforcing his active participation in the conversation. As the clip progresses, his expression becomes more animated, reflecting increasing engagement. Towards the end, there is a slight smile, suggesting a positive shift in his emotional state. This smile is accompanied by a relaxed posture, indicating a sense of ease and satisfaction. Overall, the speaker's emotional arc moves from neutral to engaged, then to a positive and satisfied state."
2208,"And it came out, ""Squatternut buash?""",Joey,joy,positive,219,4,5,8,"00:06:54,080","00:06:57,499",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt4.mp4,"The speaker begins with a neutral expression, which transitions to a cheerful demeanor characterized by upturned mouth corners and visible teeth. This shift is accompanied by a slight head tilt to the right and a gaze directed off-screen, suggesting engagement with an unseen interlocutor. The speaker's body language remains relatively still, with subtle hand gestures that emphasize points in their conversation. As the interaction progresses, the speaker's expression returns to neutral before briefly smiling, indicating a positive reaction to something said or done by the other person. The smile is marked by upturned mouth corners and a relaxed facial posture, reflecting a momentary shift in mood. Throughout the clip, the speaker maintains a consistent head position, facing slightly towards the other person, reinforcing their active participation in the dialogue. The combination of these facial expressions, head movements, and body language suggests a dynamic and engaging conversation, with the speaker's emotions fluctuating between neutral, cheerful, and briefly happy."
2209,Yeah that's the same.,Ross,neutral,neutral,219,5,5,8,"00:06:59,919","00:07:02,170",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt5.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze shifts between the two listeners, suggesting active engagement. He nods occasionally, indicating agreement or emphasis, and his body language remains relatively still, with minor shifts in posture. The speaker's facial expressions evolve from neutral to engaged, marked by raised eyebrows and lip movements, reflecting an increase in interest and involvement in the conversation. This shift is supported by his head tilting slightly towards the listener, maintaining eye contact, and nodding subtly. The overall emotional arc suggests a transition from neutrality to engagement, punctuated by moments of emphasis or agreement, culminating in a brief smile that indicates a positive or agreeable conclusion to his speech."
2210,That's it. That's my worse Thanksgiving.,Monica,sadness,negative,219,6,5,8,"00:07:04,006","00:07:05,799",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt6.mp4,"The woman begins with a neutral expression, her mouth corners slightly upturned, suggesting a hint of amusement or engagement. Her gaze is directed off-screen to the right, indicating she is listening to someone not visible in the frame. As she speaks, her facial expressions shift subtly; her eyebrows raise slightly, and her mouth opens wider, revealing her teeth briefly. This change in expression suggests a transition from a neutral state to one of mild surprise or emphasis. Her head remains relatively still, with occasional slight tilts and nods, reinforcing her active participation in the conversation. Her body language is relaxed, with minimal movement, further emphasizing her focus on the interaction. The combination of these facial actions, head movements, and body language indicates an engaged and responsive emotional state, characterized by a subtle shift from neutrality to mild surprise or emphasis."
2211,Oh wait! That can't be the one Rachel's talking about. She didn't even know that happened. So which one was it?,Phoebe,neutral,neutral,219,7,5,8,"00:07:05,967","00:07:13,723",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt7.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed towards the man, suggesting focused attention. She uses hand gestures to emphasize her points, indicating active engagement in the conversation. Her head remains relatively still, with occasional nods and tilts, further reinforcing her involvement. As the conversation progresses, her expression becomes more animated, reflecting increasing engagement. Towards the end, there is a slight upturn of her mouth corners, hinting at a brief smile, suggesting a positive shift in her emotional state. Overall, the speaker's emotional arc moves from neutral to engaged and briefly positive."
2213,"Umm, I-I really don't want to tell this story.",Monica,sadness,negative,219,8,5,8,"00:07:13,891","00:07:16,351",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt8.mp4,"The woman begins with a neutral expression, her mouth corners slightly upturned, suggesting a subtle smile. Her gaze is directed off-screen to the right, indicating engagement with someone unseen. She maintains a relatively still head position, facing slightly forward and to the right. As she speaks, her facial expressions shift subtly; her eyebrows raise slightly, and her mouth opens wider, revealing her teeth briefly. This change in expression suggests a transition from neutrality to mild amusement or interest. Her head tilts slightly upwards, further emphasizing her engagement. Her body language remains relaxed, with minimal movement apart from the slight head tilt and the act of speaking. The combination of her raised eyebrows, open mouth, and upward head tilt indicates a positive emotional response, possibly amusement or interest in the conversation. The overall impression is that she is engaged and reacting positively to the interaction."
2214,"Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.",Chandler,neutral,neutral,219,9,5,8,"00:07:16,519","00:07:21,648",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt9.mp4,"The speaker begins with a neutral expression, which transitions to a cheerful demeanor as he smiles and nods while talking. His facial expressions include smiling, nodding, and talking, with upturned mouth corners and raised eyebrows contributing to his cheerful appearance. He maintains eye contact with the woman throughout the conversation, and his head remains mostly still, facing her. His body language includes hand gestures and slight shifts in posture, indicating engagement and enthusiasm. The speaker's emotional arc progresses from neutral to cheerful, marked by a smile and nodding, suggesting a positive interaction."
2215,"Y'know, for me anyway.",Chandler,sadness,negative,219,10,5,8,"0:07:22,859","0:07:24,381",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt10.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, marked by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the woman, indicating attentiveness. He uses hand gestures to emphasize his points, suggesting active engagement in the conversation. His head nods slightly, reinforcing his involvement. As the clip progresses, his expression becomes more animated, reflecting increasing engagement. Towards the end, there is a slight upturn of the mouth corners, hinting at a brief smile, possibly indicating a positive shift in the conversation's tone. Overall, the speaker's emotional arc moves from neutral to engaged, with a brief moment of positivity."
2216,"And of course, the Indians.",Chandler,sadness,negative,219,11,5,8,"0:07:24,381","0:07:25,783",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt11.mp4,"The speaker begins with a neutral expression, which transitions to a more serious demeanor as he speaks, indicated by furrowed brows and a focused gaze. His mouth corners initially downturned, shift slightly upwards as he continues talking, suggesting a subtle change in his emotional state. He nods occasionally, indicating engagement, while maintaining a relatively still posture with hands clasped. His gaze remains directed towards the woman, showing attentiveness. The combination of furrowed brows, slight upward turn of mouth corners, and consistent eye contact suggests a shift from neutrality to seriousness, possibly reflecting concern or contemplation. This is reinforced by his focused gaze and occasional nods, indicating active listening and engagement in the conversation."
2217,"Look umm, of all people, you do not want me to tell this story!",Monica,anger,negative,219,12,5,8,"00:07:27,363","00:07:30,240",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia219_utt12.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the woman, suggesting attentiveness. He nods occasionally, indicating agreement or understanding, and his body language is relaxed yet attentive, with hands clasped together on the couch. As the conversation progresses, his expression becomes more animated, reflecting engagement and interest. Towards the end, there is a slight smile, suggesting a positive shift in the interaction. This combination of facial expressions, head movements, and body language indicates an evolving emotional state from neutrality to engagement and mild positivity."
2218,"Hi, guys.",Phoebe,neutral,neutral,220,0,4,22,"00:10:38,471","00:10:39,471",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt0.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and lip movements. Her gaze remains directed towards the person she is conversing with, suggesting focused attention. She occasionally nods her head, indicating agreement or emphasis during the conversation. Her body language is relatively still, with slight shifts in posture that suggest active listening and engagement. As the conversation progresses, her expression becomes more animated, reflecting increasing involvement in the discussion. Towards the end, there is a slight upturn of her mouth corners, hinting at a brief smile, possibly in response to something said or as a way to conclude the interaction positively. Overall, the speaker's emotional arc moves from neutral to engaged and then to a brief moment of positive acknowledgment."
2219,Hi! Phoebe.,Rachel,joy,positive,220,1,4,22,"0:10:39,639","0:10:40,265",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt1.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed towards the unseen interlocutor, suggesting active listening and engagement. She occasionally nods her head slightly, reinforcing her attentiveness. Her body language is relaxed yet attentive, with minimal movement apart from these subtle gestures. As the conversation progresses, her expression becomes more animated, reflecting increasing engagement and interest. Towards the end, there is a slight upturn of her mouth corners, hinting at a brief smile, indicating a positive shift in her emotional state. This smile is accompanied by a slight relaxation of her facial muscles, suggesting a moment of amusement or agreement. Overall, the speaker's emotional arc moves from neutral to engaged, then briefly to a positive state, marked by subtle changes in facial expressions and body language."
2220,Hi Phoebe.,Monica,neutral,neutral,220,2,4,22,"0:10:40,265","0:10:42,119",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt2.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed towards the other person, suggesting active listening and engagement. She occasionally nods her head, further emphasizing her involvement in the conversation. Her body language is relatively still, with minimal movement, indicating focused attention. As the conversation progresses, her expression becomes slightly more animated, reflecting increased interest or emphasis in her speech. Towards the end, there is a brief smile, suggesting a positive shift in the interaction. This smile is characterized by upturned mouth corners and a relaxed facial posture. Overall, the speaker's emotional arc moves from neutral to engaged, then to a more animated state, culminating in a brief moment of positivity."
2221,"I-I wanted to apologise if Iyknow seemed a tad edgy yesterday at my shower. Yknow its just the hormones, yknow.",Phoebe,sadness,negative,220,3,4,22,"00:10:42,433","00:10:51,399",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt3.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed towards someone off-screen, suggesting active listening and engagement. She occasionally nods her head, further emphasizing her involvement in the conversation. Her body language is relaxed, with minimal movement, indicating comfort and ease. As the clip progresses, her expression becomes more animated, reflecting an increase in interest or enthusiasm. This shift is marked by more pronounced eyebrow movements and dynamic lip articulation. Towards the end, a brief smile appears, characterized by upturned mouth corners, signaling a positive reaction or agreement with what is being discussed. Throughout the clip, her facial expressions, head movements, and body language collectively convey a transition from neutrality to engagement, culminating in a brief moment of positive emotion."
2222,No we,Rachel,neutral,neutral,220,4,4,22,"0:10:51,609","0:10:52,321",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt4.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile, indicating a shift towards a more positive emotional state. This change is marked by the upturning of mouth corners and subtle eyebrow movements. The speaker's gaze remains directed off-screen, suggesting engagement with an unseen interlocutor. Her head tilts slightly, indicating active listening or agreement. As she speaks, her body language becomes more animated, with hand gestures accompanying her words, reflecting increasing engagement and enthusiasm. The combination of these facial expressions, head movements, and body language suggests a dynamic interaction, evolving from neutrality to a more positive and engaged emotional state."
2223,Hormones.,Monica,neutral,neutral,220,5,4,22,"0:10:52,321","0:10:52,905",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt5.mp4,"The speaker begins with a neutral expression, which transitions to a slight frown, indicating mild annoyance or frustration. This is evident through her furrowed brows and downturned mouth corners. Her gaze remains directed towards the other person, suggesting engagement in the conversation. She uses hand gestures while speaking, emphasizing her points. As the clip progresses, her expression softens slightly, with her mouth corners turning upwards briefly, hinting at a shift towards a more positive or agreeable sentiment. Throughout, she maintains a relatively still head position, facing forward, with subtle nods and tilts accompanying her speech. Her body language remains relaxed, with minimal movement aside from gesturing. The combination of these facial expressions, head movements, and body language suggests an initial state of mild annoyance or frustration that gradually eases into a more neutral or slightly positive demeanor."
2224,"hormones, yeah.",Rachel,neutral,neutral,220,6,4,22,"0:10:52,905","0:10:54,073",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia220_utt6.mp4,"The speaker begins with a neutral expression, which transitions to a slight smile, indicating a shift towards a more positive emotional state. This change is marked by the upturning of mouth corners and subtle cheek movement. Her gaze remains directed towards her companion, suggesting engagement and interest. She maintains a relaxed posture, with minimal body movement, reinforcing a sense of ease and comfort. The combination of these facial expressions, head movements, and body language suggests a transition from neutrality to a mild positive affect, possibly in response to the ongoing conversation."
2225,Your parents?,Rachel,neutral,neutral,221,0,4,18,"0:11:49,083","0:11:49,685",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia221_utt0.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed off-screen, suggesting interaction with someone not visible in the frame. She exhibits minimal body movement, maintaining a seated position with her head relatively still, facing slightly right. As the conversation progresses, her expression becomes more animated, reflecting active participation. Towards the end, there is a slight upturn of her mouth corners, hinting at a brief smile, indicating a shift towards a more positive or agreeable emotional state. This change is supported by the relaxed posture and continued engagement in the conversation. Overall, the speaker's emotional arc moves from neutral to engaged and briefly positive."
2226,"Yeah, theyre out of town.",Joshua,neutral,neutral,221,1,4,18,"0:11:49,685","0:11:50,769",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia221_utt1.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as he speaks, indicated by subtle eyebrow raises and slight lip movements. His gaze remains directed towards the woman throughout, suggesting focused attention. He occasionally nods his head slightly, indicating agreement or emphasis. His body language is relatively still, with minimal movement apart from these subtle gestures. As the conversation progresses, his expression becomes more animated, reflecting engagement and interest. Towards the end, there is a slight upturn of his mouth corners, hinting at a brief smile, suggesting a positive shift in his emotional state. This combination of facial expressions, head movements, and body language indicates an evolving emotional state from neutrality to engagement and a subtle positive shift towards the end."
2227,Ohh.,Rachel,surprise,positive,221,2,4,18,"00:11:50,876","00:11:52,585",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia221_utt2.mp4,"The speaker begins with a neutral expression, which transitions to a more engaged demeanor as she speaks, indicated by subtle eyebrow raises and slight lip movements. Her gaze remains directed off-screen, suggesting interaction with someone not visible in the frame. She exhibits minimal body movement, maintaining a relatively still posture, which suggests focused attention. As the clip progresses, her expression becomes more animated, reflecting engagement in the conversation. This shift is marked by increased facial activity, including subtle eyebrow raises and lip movements, indicating active listening and responding. Her head remains mostly still, with occasional slight tilts, further emphasizing her attentiveness. Towards the end, there is a brief smile, evidenced by upturned mouth corners, suggesting a positive reaction to something said during the conversation. Overall, the speaker's emotional arc moves from neutral to engaged and then briefly to positive, driven by facial expressions such as eyebrow raises, lip movements, and a slight smile, along with consistent gaze direction and minimal body language."
2228,"Yeah-yeah, its this",Joshua,neutral,neutral,221,3,4,18,"00:11:52,753","00:11:56,673",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia221_utt3.mp4,"The speaker begins with a neutral expression, which transitions to frustration, then briefly smiles. Initially, his eyebrows remain neutral, but they furrow slightly during moments of frustration. His mouth corners shift from neutral to downturned when frustrated, then upturn slightly when smiling. He nods occasionally, tilts his head, and uses hand gestures to emphasize points. His gaze remains directed towards the woman throughout the conversation. The combination of furrowed brows, downturned mouth corners, and tense body language suggests frustration. The brief smile, indicated by upturned mouth corners, suggests a momentary shift to a lighter mood. Overall, the speaker's emotional arc moves from neutral to frustrated, then briefly to a lighter mood."
2229,Yeah that works.,Rachel,neutral,neutral,221,4,4,18,"00:12:00,000","00:12:02,387",train,/mnt/Work/ML/Code/EmoRecVid/MELD.Raw/train/train_splits/dia221_utt4.mp4,"The woman begins with a neutral expression, which transitions to a happy and affectionate demeanor as she smiles and engages with the man. Her mouth corners upturn, her teeth become visible, and her eyebrows raise slightly, all contributing to her expression of happiness and affection. She maintains consistent eye contact with the man throughout the interaction, indicating engagement and interest. Her head remains tilted towards him, further emphasizing her attentiveness. The combination of her smiling, raised eyebrows, and sustained gaze suggests a positive emotional state, characterized by happiness and affection."
